ds,price_yhat,price_lower,price_upper,rent_yhat,rent_lower,rent_upper,projected_roi_pct,prediction_id,target_date_id,is_latest_forecast,generated_at
2031-10-01,1626479.3042857992,1576673.9783737694,1680255.417567378,134201.06239548014,125384.1925902841,142837.39134968093,1067.4,203110_202606221956,20311001,1,2026-06-22 19:56:34.300409
2031-11-01,1637192.348584973,1586192.821863138,1688004.376160227,134632.47944821196,126142.38238525527,142301.24715099347,1067.4,203111_202606221956,20311101,1,2026-06-22 19:56:34.300409
2031-12-01,1620792.863233343,1567267.2242940457,1673839.3498720024,134590.18964013748,125336.32697122793,142465.2032197346,1067.4,203112_202606221956,20311201,1,2026-06-22 19:56:34.300409
2032-01-01,1624774.6354423207,1572521.7529891604,1673630.5142854569,132841.39996886282,123955.8056051823,140872.72053624692,1067.4,203201_202606221956,20320101,1,2026-06-22 19:56:34.300409
2032-02-01,1598586.3385838338,1544393.0742028672,1646652.2744512942,133606.9057791239,124670.38479230605,141464.05560397034,1067.4,203202_202606221956,20320201,1,2026-06-22 19:56:34.300409
2032-03-01,1592272.9827937337,1541564.8292196745,1644687.5228727504,134132.6968289045,125511.82035077292,142353.84452296092,1067.4,203203_202606221956,20320301,1,2026-06-22 19:56:34.300409
2032-04-01,1629265.183142396,1575804.7493906894,1681289.0505901033,134321.73347302785,125394.31441421102,142899.77194707465,1067.4,203204_202606221956,20320401,1,2026-06-22 19:56:34.300409
2032-05-01,1644232.783469481,1594465.689099147,1694794.6310170186,136238.36202208343,127278.07282271363,144950.41814348483,1067.4,203205_202606221956,20320501,1,2026-06-22 19:56:34.300409
2032-06-01,1667540.6782940489,1617467.8013207244,1721324.8875931192,136286.33242199259,126744.89966799467,144871.60280271375,1067.4,203206_202606221956,20320601,1,2026-06-22 19:56:34.300409
2032-07-01,1621443.1587859555,1568162.6579714166,1672412.1714932292,133801.11826401888,124728.36831223244,142149.53364643708,1067.4,203207_202606221956,20320701,1,2026-06-22 19:56:34.300409
2032-08-01,1633941.501156699,1578699.2644308412,1685954.0573482963,136467.75731207,127130.53850204777,144279.6164437269,1067.4,203208_202606221956,20320801,1,2026-06-22 19:56:34.300409
2032-09-01,1650370.7396665853,1597819.1885101767,1701265.3426270175,136028.8237102794,126367.10416226952,145321.2429710346,1067.4,203209_202606221956,20320901,1,2026-06-22 19:56:34.300409
2032-10-01,1624864.7462030712,1571828.9050588375,1680842.9169269444,136767.9127258615,126751.86274343311,145202.89347263836,1067.4,203210_202606221956,20321001,1,2026-06-22 19:56:34.300409
2032-11-01,1664485.5719143637,1611679.057087052,1716707.7979443148,136540.9786890534,126626.18507186227,145424.37120592195,1067.4,203211_202606221956,20321101,1,2026-06-22 19:56:34.300409
2032-12-01,1647597.5969400315,1596004.8833726407,1701108.5587613261,137434.15741869187,127745.88884433667,146776.96204202072,1067.4,203212_202606221956,20321201,1,2026-06-22 19:56:34.300409
2033-01-01,1637817.7638087224,1582544.33560813,1690851.7149059204,132832.47795611917,122458.3007064591,141988.58369479937,1067.4,203301_202606221956,20330101,1,2026-06-22 19:56:34.300409
2033-02-01,1658214.3540471522,1604810.7802038945,1714526.5889359252,136872.10641879519,126821.76201509013,145626.47818964816,1067.4,203302_202606221956,20330201,1,2026-06-22 19:56:34.300409
2033-03-01,1626964.1919156604,1569629.3552762356,1682179.4378722208,135781.61141762446,125823.17743138841,144944.27726959193,1067.4,203303_202606221956,20330301,1,2026-06-22 19:56:34.300409
2033-04-01,1656098.8982429954,1600832.3416010502,1709326.0193042536,137401.4003223126,127535.9163287722,146974.3399847882,1067.4,203304_202606221956,20330401,1,2026-06-22 19:56:34.300409
